Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Danielle Oliveri,competitions-view?id=1354,Danielle Oliveri,1993,10/13/2016,Raw Nationals 2016,-,R-JR,-63,61.98,-135,-142.5,-147.5,-82.5,-85,-87.5,-142.5,-150,-155,0,0.00
Danielle Oliveri,competitions-view?id=1247,Danielle Oliveri,1993,06/05/2016,New Jersey Summer Classic,1.,R-O,-63,62.40,132.5,140,145,80,85,-90,142.5,152.5,-157.5,382.5,413.79
Danielle Oliveri,competitions-view?id=1079,Danielle Oliveri,1993,01/23/2016,Northeast Iron Beast USA Powerlifting Winter Classic III,1.,R-JR,-63,62.20,125,135,137.5,75,80,87.5,137.5,150,-157.5,375,406.65
Nick Mccouch,competitions-view?id=1354,Nick Mccouch,1990,10/13/2016,Raw Nationals 2016,-,R-O,-83,81.33,-215,-227.5,-235,-142.5,-1000,-150,-237.5,-265,-265,0,0.00
Nick Mccouch,competitions-view?id=1283,Nick Mccouch,1990,07/23/2016,"Border Bash ""Alabama vs Georgia""",2.,R-O,-83,79.10,185,195,-207.5,-135,135,-137.5,227.5,240,245,575,395.37
Christopher Thacker,competitions-view?id=1354,Christopher Thacker,1977,10/13/2016,Raw Nationals 2016,-,R-O,-105,104.06,-280,-290,-295,-175,-180,-182.5,-270,-280,-280,0,0.00
Christopher Thacker,competitions-view?id=1122,Christopher Thacker,1977,03/04/2016,Arnold - StartingStrength.com Pro Raw Challenge,4.,R-O,-105,104.90,-272.5,272.5,-285,170,175,-177.5,262.5,275,-285,722.5,431.91
Christopher Thacker,competitions-view?id=992,Christopher Thacker,1977,10/15/2015,2015 Raw Nationals,14.,R-O,-105,104.90,270,-285,-285,170,-175,175,265,275,-282.5,720,430.42
Christopher Thacker,competitions-view?id=868,Christopher Thacker,1977,04/25/2015,2015 Illinois States and Great Rivers Open,1.,R-O,-105,104.50,252.5,262.5,270,165,-175,-175,252.5,260,265,700,419.02
Christopher Thacker,competitions-view?id=752,Christopher Thacker,1977,12/12/2014,American Open,7.,R-O,-105,100.00,260,,,165,,,247.5,,,672.5,409.28
Sydney Rivera,competitions-view?id=1354,Sydney Rivera,2003,10/13/2016,Raw Nationals 2016,1.,R-O,-52,51.30,67.5,72.5,77.5,35,40,-45,77.5,85,-90,202.5,255.09
Sydney Rivera,competitions-view?id=1214,Sydney Rivera,2003,05/07/2016,Lift for Life,1.,R-Y3,-52,50.30,55,-65,70,35,-40,40,70,80,-90,190,242.97
Sandra Tran,competitions-view?id=1354,Sandra Tran,1995,10/13/2016,Raw Nationals 2016,1.,R-JR,-43,38.42,75,77.5,82.5,40,42.5,45,92.5,-95,-95,220,328.59
Sandra Tran,competitions-view?id=1324,Sandra Tran,1995,09/10/2016,Bench Press Nationals,1.,R-JR,-43,38.30,,,,40,42.5,45,,,,45,67.21
Sandra Tran,competitions-view?id=1182,Sandra Tran,1995,04/14/2016,2016 USA Powerlifting Collegiate Nationals,3.,R-C,-43,38.80,77.5,-82.5,-82.5,32.5,35,37.5,97.5,-100,-100,212.5,317.39
Sandra Tran,competitions-view?id=1033,Sandra Tran,1995,12/05/2015,USAPL Colorado State Championships,1.,R-JR,-40,36.90,60,65,72.5,30,35,-40,80,87.5,92.5,200,298.72
Alyssa Mirasol,competitions-view?id=1354,Alyssa Mirasol,1994,10/13/2016,Raw Nationals 2016,6.,R-O,-47,47.00,102.5,110,-115,55,60,62.5,130,140,-155,312.5,420.28
Alyssa Mirasol,competitions-view?id=1328,Alyssa Mirasol,1994,09/10/2016,Squats & Science Raw Powerlifting Challenge,1.,R-JR,-47,46.90,100,107.5,112.5,55,57.5,-62.5,130,137.5,147.5,317.5,427.67
Alyssa Mirasol,competitions-view?id=1299,Alyssa Mirasol,1994,08/05/2016,34th Annual New Jersey State Championships,1.,R-O,-52,48.30,102.5,110,-115,50,55,60,130,140,147.5,317.5,418.56
Alyssa Mirasol,competitions-view?id=1198,Alyssa Mirasol,1994,04/30/2016,SBWC Spring Classic,1.,R-JR,-52,50.30,112.5,-120,-120,55,-57.5,-60,140,150,-155,317.5,406.02
Marilu Solares,competitions-view?id=1354,Marilu Solares,1995,10/13/2016,Raw Nationals 2016,2.,R-JR,-47,46.33,102.5,-107.5,-107.5,45,47.5,52.5,125,130,135,290,394.05
Marilu Solares,competitions-view?id=1311,Marilu Solares,1995,08/20/2016,Maryland State Championship,1.,R-O,-47,46.40,90,95,100,42.5,45,47.5,115,122.5,130,277.5,376.65
Nicole Nguyen,competitions-view?id=1354,Nicole Nguyen,1994,10/13/2016,Raw Nationals 2016,3.,R-JR,-47,45.91,97.5,102.5,107.5,45,47.5,-50,110,117.5,-122.5,272.5,372.67
Nicole Nguyen,competitions-view?id=1290,Nicole Nguyen,1994,04/16/2016,2016 California State Championships,1.,R-JR,-47,46.60,80,87.5,95,35,42.5,-47.5,82.5,90,102.5,240,324.77
Gabrielle Polanco,competitions-view?id=1354,Gabrielle Polanco,1993,10/13/2016,Raw Nationals 2016,4.,R-JR,-47,46.48,85,92.5,95,45,47.5,52.5,110,117.5,125,272.5,369.43
Gabrielle Polanco,competitions-view?id=1188,Gabrielle Polanco,1993,04/09/2016,Texas State Championships,1.,R-JR,-47,45.60,82.5,87.5,-92.5,37.5,42.5,47.5,107.5,115,125,260,357.27
Tam Nguyen,competitions-view?id=1354,Tam Nguyen,1995,10/13/2016,Raw Nationals 2016,5.,R-JR,-47,44.62,80,87.5,-92.5,45,50,52.5,105,112.5,117.5,257.5,359.19
Tam Nguyen,competitions-view?id=1301,Tam Nguyen,1995,08/15/2016,14th Annual North American Championships,1.,R-JR,-47,45.90,85,92.5,95,47.5,-52.5,52.5,105,-112.5,-112.5,252.5,345.37
Tam Nguyen,competitions-view?id=1262,Tam Nguyen,1995,04/02/2016,Southern Indiana Spring Classic,1.,R-O,-47,46.50,85,90,-97.5,47.5,50,52.5,100,110,115,257.5,348.99
Tam Nguyen,competitions-view?id=992,Tam Nguyen,1995,10/15/2015,2015 Raw Nationals,1.,R-JR,-43,43.00,70,77.5,80,35,40.5,42.5,95,100,107.5,230,328.79
Tam Nguyen,competitions-view?id=923,Tam Nguyen,1995,09/15/2015,USAPL Warrior Closed,1.,R-JR,-43,42.80,60,70,75,25,35,,65,75,85,195,279.59
Jenny Lee,competitions-view?id=1354,Jenny Lee,1994,10/13/2016,Raw Nationals 2016,5.,R-O,-52,51.25,127.5,135,140,67.5,72.5,75,127.5,-132.5,132.5,347.5,438.09
Jenny Lee,competitions-view?id=1232,Jenny Lee,1994,05/21/2016,Philadelphia Freedom Championship,1.,R-JR,-52,51.20,122.5,130,-135,65,67.5,70,125,132.5,137.5,337.5,425.79
Maranda Geist,competitions-view?id=1354,Maranda Geist,1993,10/13/2016,Raw Nationals 2016,2.,R-JR,-52,51.05,110,117.5,120,57.5,62.5,67.5,127.5,135,-142.5,322.5,407.80
Maranda Geist,competitions-view?id=1301,Maranda Geist,1993,08/15/2016,14th Annual North American Championships,1.,R-JR,-52,51.10,107.5,115,-122.5,57.5,62.5,65,122.5,130,140,320,404.32
Maranda Geist,competitions-view?id=1006,Maranda Geist,1993,11/21/2015,AZ Fall Championships,1.,R-JR,-52,51.60,90,95,100,47.5,52.5,-57.5,100,110,122.5,275,344.88
Maranda Geist,competitions-view?id=992,Maranda Geist,1993,10/15/2015,2015 Raw Nationals,5.,R-JR,-52,50.70,92.5,97.5,102.5,50,55,60,100,107.5,117.5,280,355.91
Maranda Geist,competitions-view?id=906,Maranda Geist,1993,06/27/2015,USAPL NorCal Open,1.,R-JR,-52,47.20,90,97.5,105,47.5,52.5,55,90,95,105,265,355.31
