Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Kiara Pereira,competitions-view?id=992,Kiara Pereira,1998,10/15/2015,2015 Raw Nationals,5.,R-T2,-63,60.70,80,90,95,-52.5,-60,-60,90,-100,,0,0.00
Kiara Pereira,competitions-view?id=888,Kiara Pereira,1998,08/01/2015,New Jersey State Championships,1.,R-T2,-63,62.50,-72.5,75,-82.5,52.5,60,-62.5,80,87.5,-95,222.5,240.41
Kiara Pereira,competitions-view?id=789,Kiara Pereira,1998,03/15/2015,5th Annual Ryan Moore N.E. Open High School Championships,1.,R-T2,-63,59.20,75,,,55,,,87.5,,,217.5,245.04
LeeAnn Hewitt,competitions-view?id=992,LeeAnn Hewitt,1999,10/15/2015,2015 Raw Nationals,2.,R-O,84+,148.80,205,222.5,240,92.5,102.5,107.5,185,200,212.5,560,431.31
LeeAnn Hewitt,competitions-view?id=822,LeeAnn Hewitt,1999,04/25/2015,4th Annual Southeastern USA Regional High School Championships,1.,R-HS,84+,140.40,,,,92.5,97.5,102.5,172.5,182.5,190,292.5,227.33
LeeAnn Hewitt,competitions-view?id=682,LeeAnn Hewitt,1999,03/14/2015,2015 Florida State Championships,1.,R-T1,84+,138.20,135,150,165,85,95,-100,117.5,142.5,182.5,442.5,344.93
Allie Perry,competitions-view?id=992,Allie Perry,2000,10/15/2015,2015 Raw Nationals,2.,R-HS,84+,94.80,92.5,102.5,110,50,55,-57.5,107.5,-117.5,127.5,292.5,247.75
Allie Perry,competitions-view?id=873,Allie Perry,2000,08/29/2015,2015 Great Lakes Sports Festival USAPL Pro Raw Deadlift,1.,R-O,84+,93.80,,,,,,,107.5,117.5,-127.5,117.5,99.91
Allie Perry,competitions-view?id=1055,Allie Perry,2000,07/12/2015,2015 USAPL Ohio State Championships,1.,R-T1,84+,91.90,95,102.5,107.5,47.5,55,-62.5,110,-120,125,287.5,246.33
Allie Perry,competitions-view?id=735,Allie Perry,2000,11/08/2014,USAPL 2014 Ohio State PL Championships,1.,R-T1,-90,89.00,82.5,,,45,,,100,,,227.5,197.49
Tam Nguyen,competitions-view?id=992,Tam Nguyen,1995,10/15/2015,2015 Raw Nationals,1.,R-JR,-43,43.00,70,77.5,80,35,40.5,42.5,95,100,107.5,230,328.79
Tam Nguyen,competitions-view?id=923,Tam Nguyen,1995,09/15/2015,USAPL Warrior Closed,1.,R-JR,-43,42.80,60,70,75,25,35,,65,75,85,195,279.59
Nathalie Sanchez,competitions-view?id=992,Nathalie Sanchez,1994,10/15/2015,2015 Raw Nationals,1.,R-JR,-47,47.00,-90,90,92.5,45,47.5,50,107.5,112.5,122.5,265,356.40
Nathalie Sanchez,competitions-view?id=1252,Nathalie Sanchez,1994,07/11/2015,2015 Summer Power Fest,1.,R-JR,-47,46.60,82.5,87.5,92.5,47.5,47.5,-52.5,105,112.5,120,260,351.83
Sarah Cruz-Ortiz,competitions-view?id=992,Sarah Cruz-Ortiz,1994,10/15/2015,2015 Raw Nationals,2.,R-JR,-47,46.10,75,-80,80,47.5,50,-55,122.5,127.5,-135,257.5,351.13
Sarah Cruz-Ortiz,competitions-view?id=742,Sarah Cruz-Ortiz,1994,11/22/2014,2014 Stars and Stripes Squat- BP and DL Championships,1.,R-JR,-48,44.70,,,,42.5,,,,,,42.5,59.21
Jennifer Lotz,competitions-view?id=992,Jennifer Lotz,1993,10/15/2015,2015 Raw Nationals,3.,R-JR,-47,46.10,82.5,85,92.5,47.5,50,52.5,97.5,102.5,110,255,347.72
Jennifer Lotz,competitions-view?id=907,Jennifer Lotz,1993,06/13/2015,36th USAPL Florida Sunshine Games,1.,R-JR,-52,48.20,70,77.5,82.5,45,47.5,50,97.5,105,-110,237.5,313.60
Victoria Vargas,competitions-view?id=992,Victoria Vargas,1994,10/15/2015,2015 Raw Nationals,1.,R-JR,-52,51.50,110,117.5,122.5,70,77.5,-82.5,140,145,150,350,439.60
Victoria Vargas,competitions-view?id=784,Victoria Vargas,1994,03/08/2015,2015 Texas Strength Classic,1.,R-JR,-52,51.30,117.5,,,77.5,,,132.5,,,327.5,412.55
Kate Cohen,competitions-view?id=992,Kate Cohen,1992,10/15/2015,2015 Raw Nationals,2.,R-JR,-52,49.90,97.5,105,115,60,65,-67.5,142.5,152.5,-160,332.5,427.79
Kate Cohen,competitions-view?id=752,Kate Cohen,1992,12/12/2014,American Open,1.,R-JR,-52,50.40,102.5,,,65,,,150,,,317.5,405.42
